adm1,adm2,year,malaria_incidence_per_1000_corrected,population_new
Western 2,Foni Kansala,2022,78.02089154451275,23263
Western 2,Kombo Central,2022,55.55073758336297,230618
Western 2,Kombo East,2022,54.78017643261852,69715
Western 2,Kombo South,2022,81.10474869071246,175859
Central River,Janjanbureh,2023,61.86035933591085,4397
Central River,Lower Fuladu West,2023,21.946372331395718,50942.36
Central River,Lower Saloum,2023,24.430399915024697,18829
Central River,Niamina Dankunku,2023,42.20963172804532,7060
Central River,Niamina East,2023,2.76125743415463,28248
Central River,Niamina West,2023,11.463738385422952,8287
Central River,Niani,2023,8.74095513748191,34550
Central River,Nianija,2023,10.798239056400034,12039
Central River,Sami,2023,16.295747617925322,29701
Central River,Upper Fuladu West,2023,25.519778350454448,57445.64
Central River,Upper Saloum,2023,1.976979175819348,22762
Lower River,Jarra Central,2023,60.431960846898605,9399
Lower River,Jarra East,2023,135.84278992526984,18065
Lower River,Jarra West,2023,23.29439647875402,29535
Lower River,Kiang Central,2023,26.849764295962288,9758
Lower River,Kiang East,2023,14.354691374135456,7663
Lower River,Kiang West,2023,31.381372490970456,16889
North Bank East,Central Badibu,2023,9.47061680427392,24708
North Bank East,Lower Badibu,2023,10.497189037245256,22768
North Bank East,Sabach Sanjar,2023,11.20382991455833,30079
North Bank East,Upper Badibu,2023,10.351597358557914,61633
North Bank West,Jokadu,2023,19.198133220195164,28284
North Bank West,Lower Niumi,2023,9.60369223966394,72368
North Bank West,Upper Niumi,2023,15.608634563801251,39145
Upper River,Basse,2023,22.876589308503096,63471
Upper River,Jimara,2023,78.89068869150394,56179
Upper River,Kantora,2023,87.74229985678842,49577
Upper River,Sandu,2023,46.661434830946305,30582
Upper River,Tumana,2023,12.122094232128749,48094
Upper River,Wuli East,2023,36.268920778454884,30522
Upper River,Wuli West,2023,64.50926877680502,28213
Western 1,Banjul,2023,41.966426858513195,27522
Western 1,Kanifing,2023,51.3765494523892,442011
Western 1,Kombo North,2023,41.48181499655546,590789
Western 2,Foni Bintang Karanai,2023,26.91184859568471,29801
Western 2,Foni Bondali,2023,7.580351728320194,13192
Western 2,Foni Brefet,2023,21.754608021517285,25282
Western 2,Foni Jarrol,2023,45.81872809213821,11982
Western 2,Foni Kansala,2023,44.816787994631746,24589
Western 2,Kombo Central,2023,67.41384049260962,243763
Western 2,Kombo East,2023,35.81315818043643,73688
Western 2,Kombo South,2023,97.5882678889409,185883
Central River,Janjanbureh,2024,47.7257450145642,4463
Central River,Lower Fuladu West,2024,7.28951943125677,52266.82
Central River,Lower Saloum,2024,17.547513668315542,19205
Central River,Niamina Dankunku,2024,13.258897418004187,7165
Central River,Niamina East,2024,3.5227233092672035,28671
Central River,Niamina West,2024,13.19543509272468,8412
Central River,Niani,2024,8.626315938821259,35241
Central River,Nianija,2024,11.319218241042345,12280
Central River,Sami,2024,18.64994223469219,30295
Central River,Upper Fuladu West,2024,19.81703851326062,58939.18
Central River,Upper Saloum,2024,3.790162804720475,23218
Lower River,Jarra Central,2024,63.39360807401177,9512
Lower River,Jarra East,2024,46.43912044634067,18282
Lower River,Jarra West,2024,20.3412512546002,29890
Lower River,Kiang Central,2024,25.11392405063291,9875
Lower River,Kiang East,2024,18.439716312056735,7755
Lower River,Kiang West,2024,26.211092908963256,17092
North Bank East,Central Badibu,2024,8.932453262716889,25301
North Bank East,Lower Badibu,2024,8.40660518979198,23315
North Bank East,Sabach Sanjar,2024,7.110158761079186,30801
North Bank East,Upper Badibu,2024,9.443528964380784,63112
North Bank West,Jokadu,2024,17.988468045437283,28963
North Bank West,Lower Niumi,2024,17.08409802439814,74104
North Bank West,Upper Niumi,2024,12.698016714481726,40085
Upper River,Basse,2024,26.73484743784647,65121
Upper River,Jimara,2024,51.856349757113115,57640
Upper River,Kantora,2024,68.15947784374632,50866
Upper River,Sandu,2024,43.66255537495618,31377
Upper River,Tumana,2024,19.45525291828794,49344
Upper River,Wuli East,2024,41.67331949544947,31315
Upper River,Wuli West,2024,40.28190423547295,28946
Western 1,Banjul,2024,63.915857605178,27192
Western 1,Kanifing,2024,50.068695541804075,449083
Western 1,Kombo North,2024,39.952663404135386,624464
Western 2,Foni Bintang Karanai,2024,18.12755960506683,31499
Western 2,Foni Bondali,2024,13.052208835341364,13944
Western 2,Foni Brefet,2024,22.0035175691352,26723
Western 2,Foni Jarrol,2024,44.848006316620605,12665
Western 2,Foni Kansala,2024,48.21085032704887,25990
Western 2,Kombo Central,2024,54.6305567845749,257658
Western 2,Kombo East,2024,45.80936729663106,77888
Western 2,Kombo South,2024,77.18421400869309,196478
Central River,Janjanbureh,2025,27.152317880794705,4530
Central River,Lower Fuladu West,2025,2.5360804056833564,53626.06
Central River,Lower Saloum,2025,19.449691153198224,19589
Central River,Niamina Dankunku,2025,11.962051423071635,7273
Central River,Niamina East,2025,5.085735885364764,29101
Central River,Niamina West,2025,10.541110330288124,8538
Central River,Niani,2025,4.562399154286986,35946
Central River,Nianija,2025,10.6187624750499,12525
Central River,Sami,2025,3.4626711109672828,30901
Central River,Upper Fuladu West,2025,7.639907037875748,60471.94
Central River,Upper Saloum,2025,2.364665146524787,23682
Lower River,Jarra Central,2025,19.530438396010805,9626
Lower River,Jarra East,2025,16.32255972327316,18502
Lower River,Jarra West,2025,11.537952922507273,30248
Lower River,Kiang Central,2025,20.31218731238743,9994
Lower River,Kiang East,2025,29.94393476044852,7848
Lower River,Kiang West,2025,14.22211944267792,17297
North Bank East,Central Badibu,2025,7.989810097267253,25908
North Bank East,Lower Badibu,2025,5.445254251486974,23874
North Bank East,Sabach Sanjar,2025,4.629042485732403,31540
North Bank East,Upper Badibu,2025,4.023086326148514,64627
North Bank West,Jokadu,2025,14.330028997235146,29658
North Bank West,Lower Niumi,2025,7.3666038506648395,75883
North Bank West,Upper Niumi,2025,9.160230954759179,41047
