adm1,adm2,year,total_pop
North Bank East,Sabach Sanjar,2025,31540
North Bank East,Upper Badibu,2017,53458
North Bank East,Upper Badibu,2018,54741
North Bank East,Upper Badibu,2019,56055
North Bank East,Upper Badibu,2020,57400
North Bank East,Upper Badibu,2021,58778
North Bank East,Upper Badibu,2022,60189
North Bank East,Upper Badibu,2023,61633
North Bank East,Upper Badibu,2024,63112
North Bank East,Upper Badibu,2025,64627
North Bank West,Jokadu,2017,24532
North Bank West,Jokadu,2018,25121
North Bank West,Jokadu,2019,25724
North Bank West,Jokadu,2020,26341
North Bank West,Jokadu,2021,26974
North Bank West,Jokadu,2022,27621
North Bank West,Jokadu,2023,28284
North Bank West,Jokadu,2024,28963
North Bank West,Jokadu,2025,29658
North Bank West,Lower Niumi,2017,62769
North Bank West,Lower Niumi,2018,64275
North Bank West,Lower Niumi,2019,65818
North Bank West,Lower Niumi,2020,67398
North Bank West,Lower Niumi,2021,69015
North Bank West,Lower Niumi,2022,70672
North Bank West,Lower Niumi,2023,72368
North Bank West,Lower Niumi,2024,74104
North Bank West,Lower Niumi,2025,75883
North Bank West,Upper Niumi,2017,33953
North Bank West,Upper Niumi,2018,34768
North Bank West,Upper Niumi,2019,35602
North Bank West,Upper Niumi,2020,36457
North Bank West,Upper Niumi,2021,37332
North Bank West,Upper Niumi,2022,38228
North Bank West,Upper Niumi,2023,39145
North Bank West,Upper Niumi,2024,40085
North Bank West,Upper Niumi,2025,41047
Upper River,Basse,2017,54411
Upper River,Basse,2018,55826
Upper River,Basse,2019,57277
Upper River,Basse,2020,58767
Upper River,Basse,2021,60295
Upper River,Basse,2022,61862
Upper River,Basse,2023,63471
Upper River,Basse,2024,65121
Upper River,Basse,2025,66814
Upper River,Jimara,2017,48160
Upper River,Jimara,2018,49412
Upper River,Jimara,2019,50697
Upper River,Jimara,2020,52015
Upper River,Jimara,2021,53368
Upper River,Jimara,2022,54755
Upper River,Jimara,2023,56179
Upper River,Jimara,2024,57640
Upper River,Jimara,2025,59138
Upper River,Kantora,2017,42501
Upper River,Kantora,2018,43606
Upper River,Kantora,2019,44740
Upper River,Kantora,2020,45903
Upper River,Kantora,2021,47097
Upper River,Kantora,2022,48321
Upper River,Kantora,2023,49577
Upper River,Kantora,2024,50866
Upper River,Kantora,2025,52189
Upper River,Sandu,2017,26217
Upper River,Sandu,2018,26899
Upper River,Sandu,2019,27598
Upper River,Sandu,2020,28316
Upper River,Sandu,2021,29052
Upper River,Sandu,2022,29807
Upper River,Sandu,2023,30582
Upper River,Sandu,2024,31377
Upper River,Sandu,2025,32193
Upper River,Tumana,2017,41229
Upper River,Tumana,2018,42301
Upper River,Tumana,2019,43401
Upper River,Tumana,2020,44529
Upper River,Tumana,2021,45687
Upper River,Tumana,2022,46875
Upper River,Tumana,2023,48094
Upper River,Tumana,2024,49344
Upper River,Tumana,2025,50627
Upper River,Wuli East,2017,26165
Upper River,Wuli East,2018,26845
Upper River,Wuli East,2019,27543
Upper River,Wuli East,2020,28259
Upper River,Wuli East,2021,28994
Upper River,Wuli East,2022,29748
Upper River,Wuli East,2023,30522
Upper River,Wuli East,2024,31315
Upper River,Wuli East,2025,32129
Upper River,Wuli West,2017,24186
Upper River,Wuli West,2018,24815
Upper River,Wuli West,2019,25460
Upper River,Wuli West,2020,26122
Upper River,Wuli West,2021,26801
Upper River,Wuli West,2022,27498
Upper River,Wuli West,2023,28213
Upper River,Wuli West,2024,28946
Upper River,Wuli West,2025,29699
Western 1,Banjul,2017,29590
Western 1,Banjul,2018,29235
Western 1,Banjul,2019,28884
Western 1,Banjul,2020,28538
Western 1,Banjul,2021,28195
Western 1,Banjul,2022,27857
Western 1,Banjul,2023,27522
Western 1,Banjul,2024,27192
Western 1,Banjul,2025,26866
Western 1,Kanifing,2017,401856
Western 1,Kanifing,2018,408286
Western 1,Kanifing,2019,414818
Western 1,Kanifing,2020,421455
Western 1,Kanifing,2021,428199
Western 1,Kanifing,2022,435050
Western 1,Kanifing,2023,442011
Western 1,Kanifing,2024,449083
Western 1,Kanifing,2025,456268
Western 1,Kombo North,2017,423626
Western 1,Kombo North,2018,447772
Western 1,Kombo North,2019,473295
Western 1,Kombo North,2020,500273
Western 1,Kombo North,2021,528789
Western 1,Kombo North,2022,558930
Western 1,Kombo North,2023,590789
Western 1,Kombo North,2024,624464
Western 1,Kombo North,2025,660058
Western 2,Foni Bintang Karanai,2017,21369
Western 2,Foni Bintang Karanai,2018,22587
Western 2,Foni Bintang Karanai,2019,23874
Western 2,Foni Bintang Karanai,2020,25235
Western 2,Foni Bintang Karanai,2021,26673
